date,sku,price,category
2024-01-01,瑜伽垫-6mm,45.00,运动健身
2024-01-08,瑜伽垫-6mm,44.50,运动健身
2024-01-15,瑜伽垫-6mm,46.00,运动健身
2024-01-22,瑜伽垫-6mm,45.50,运动健身
2024-02-01,瑜伽垫-6mm,48.00,运动健身
2024-02-15,瑜伽垫-6mm,47.50,运动健身
2024-03-01,瑜伽垫-6mm,45.00,运动健身
2024-03-15,瑜伽垫-6mm,44.00,运动健身
2024-01-01,收纳盒-大号,28.00,家居收纳
2024-01-15,收纳盒-大号,27.50,家居收纳
2024-02-01,收纳盒-大号,29.00,家居收纳
2024-02-15,收纳盒-大号,30.50,家居收纳
2024-03-01,收纳盒-大号,28.50,家居收纳
2024-03-15,收纳盒-大号,27.00,家居收纳
2024-01-01,数据线-TypeC,15.00,3C配件
2024-01-15,数据线-TypeC,14.50,3C配件
2024-02-01,数据线-TypeC,15.50,3C配件
2024-02-15,数据线-TypeC,16.00,3C配件
2024-03-01,数据线-TypeC,15.00,3C配件
2024-03-15,数据线-TypeC,14.00,3C配件
